fecha_scraping,tienda,categoria,subcategoria,nombre_producto,sku,precio_normal,precio_descuento,url_producto
2026-07-22 13:28:48,Soriana,lacteos-y-huevo,Leche entera,Leche UHT Santa Clara Entera 6 piezas de 750 ml c/u,11450660,147.0,,https://www.soriana.com/leche-uht-santa-clara-entera-6-piezas-de-750-ml-c-u/11450660.html
2026-07-22 13:28:48,Soriana,lacteos-y-huevo,Leche entera,Six Pack Leche Entera UHT Valley Foods,11758215,152.0,,https://www.soriana.com/six-pack-leche-entera-uht-valley-foods/11758215.html
2026-07-22 13:28:48,Soriana,lacteos-y-huevo,Leche entera,Leche Lala Entera 6 piezas de 1 Litro c/u,11400055,196.0,160.0,https://www.soriana.com/leche-lala-entera-6-piezas-de-1-litro-c-u/11400055.html
2026-07-22 13:28:48,Soriana,lacteos-y-huevo,Leche entera,Leche Lala Entera 1.5 lt,11319139,49.9,46.0,https://www.soriana.com/leche-lala-entera-1.5-lt/11319139.html
2026-07-22 13:28:48,Soriana,lacteos-y-huevo,Leche entera,Leche Alpura Clásica 1 Paquete con 4 piezas de 1 lt c/u,11585945,123.0,116.0,https://www.soriana.com/leche-alpura-clasica-1-paquete-con-4-piezas-de-1-lt-c-u/11585945.html
2026-07-22 13:28:48,Soriana,lacteos-y-huevo,Leche entera,Leche Entera Santa Clara 1.5 lt,11590766,54.9,,https://www.soriana.com/leche-entera-santa-clara-1.5-lt/11590766.html
2026-07-22 13:28:48,Soriana,lacteos-y-huevo,Leche entera,Leche Alpura Clásica Entera 1.5 L,11321591,49.9,,https://www.soriana.com/leche-alpura-clasica-entera-1.5-l/11321591.html
2026-07-22 13:28:48,Soriana,lacteos-y-huevo,Leche entera,Forti Regular 1.5 L,11321587,36.9,,https://www.soriana.com/forti-regular-1.5-l/11321587.html
2026-07-22 13:28:48,Soriana,lacteos-y-huevo,Leche entera,Producto Lácteo Combinado Boreal Plus Entera 1.5 Litro,11491679,29.5,25.0,https://www.soriana.com/producto-lacteo-combinado-boreal-plus-entera-1.5-litro/11491679.html
2026-07-22 13:28:48,Soriana,lacteos-y-huevo,Leche entera,Leche Santa Clara Entera 4 Pack,11744840,128.0,123.0,https://www.soriana.com/leche-santa-clara-entera-4-pack/11744840.html
2026-07-22 13:28:48,Soriana,lacteos-y-huevo,Leche entera,Producto lácteo combinado Precíssimo 900 ml,11746764,14.5,,https://www.soriana.com/producto-lacteo-combinado-precissimo-900-ml/11746764.html
2026-07-22 13:28:48,Soriana,lacteos-y-huevo,Leche entera,Leche UHT Entera Santa Clara 180 ml,11615124,13.6,,https://www.soriana.com/leche-uht-entera-santa-clara-180-ml/11615124.html
2026-07-22 13:28:48,Soriana,lacteos-y-huevo,Leche entera,Leche UHT Santa Clara Entera 1 L,1103466,35.9,,https://www.soriana.com/leche-uht-santa-clara-entera-1-l/1103466.html
2026-07-22 13:28:48,Soriana,lacteos-y-huevo,Leche entera,Producto Lácteo Combinado Nutri Entero 1 lt,1108938,23.9,,https://www.soriana.com/producto-lacteo-combinado-nutri-entero-1-lt/1108938.html
2026-07-22 13:28:48,Soriana,lacteos-y-huevo,Leche entera,Leche Alpura Selecta Entera 1 L,1841620,38.5,,https://www.soriana.com/leche-alpura-selecta-entera-1-l/1841620.html
2026-07-22 13:28:48,Soriana,lacteos-y-huevo,Leche entera,Leche UHT Entera Lala 180 ml,11880911,10.5,,https://www.soriana.com/leche-uht-entera-lala-180-ml/11880911.html
