date,store,category,subcategory_count,products_found,products_saved,errors,duration_seconds
18/06/2026 11:27,Soriana,frutas-y-verduras,24,401,401,0,256.26
18/06/2026 11:33,Soriana,lacteos-y-huevo,35,550,550,0,374.03
18/06/2026 11:38,Soriana,carnes-pescados-y-mariscos,27,470,470,0,300.42
2026-07-01 19:14:07,Soriana,frutas-y-verduras,24,426,426,0,239.06
2026-07-01 19:19:54,Soriana,lacteos-y-huevo,35,552,552,0,347.0
2026-07-01 19:24:31,Soriana,carnes-pescados-y-mariscos,27,471,471,0,276.53
2026-07-02 21:49:14,Walmart,lacteos,0,0,0,1,8.78
2026-07-02 21:49:25,Walmart,frutas-y-verduras,0,0,0,1,11.26
2026-07-02 22:37:55,Soriana,frutas-y-verduras,24,427,427,0,265.77
2026-07-02 22:44:07,Soriana,lacteos-y-huevo,35,552,552,0,372.32
2026-07-02 22:48:43,Soriana,carnes-pescados-y-mariscos,27,471,471,0,275.81
2026-07-02 22:58:47,Chedraui,carnes-pescados-y-mariscos,40,631,631,0,600.38
2026-07-02 23:05:55,Chedraui,frutas-y-verduras,28,429,429,0,427.38
2026-07-02 23:18:42,Chedraui,lacteos-y-huevo,51,804,804,0,767.18
2026-07-07 21:25:25,Soriana,frutas-y-verduras,24,406,406,0,273.54
2026-07-07 21:31:20,Soriana,lacteos-y-huevo,35,553,553,0,355.05
2026-07-07 21:36:10,Soriana,carnes-pescados-y-mariscos,27,470,470,0,290.13
2026-07-07 21:46:06,Chedraui,carnes-pescados-y-mariscos,40,617,617,0,590.7
2026-07-07 21:53:12,Chedraui,frutas-y-verduras,28,428,428,0,426.19
2026-07-07 22:06:35,Chedraui,lacteos-y-huevo,51,800,800,0,803.14
2026-07-15 06:40:40,Soriana,frutas-y-verduras,24,430,430,0,339.08
2026-07-15 06:47:23,Soriana,lacteos-y-huevo,34,501,501,3,402.1
2026-07-15 06:47:23,Soriana,carnes-pescados-y-mariscos,0,0,0,1,0.29
2026-07-15 06:58:57,Chedraui,carnes-pescados-y-mariscos,40,626,626,0,668.22
2026-07-15 07:06:07,Chedraui,frutas-y-verduras,28,426,426,0,430.4
2026-07-15 07:20:14,Chedraui,lacteos-y-huevo,51,924,924,0,846.72
2026-07-22 13:28:20,Soriana,frutas-y-verduras,0,0,0,1,60.12
2026-07-22 13:34:26,Soriana,lacteos-y-huevo,35,550,550,0,365.69
2026-07-22 13:39:29,Soriana,carnes-pescados-y-mariscos,27,489,489,0,303.3
2026-07-22 13:49:37,Chedraui,carnes-pescados-y-mariscos,40,631,631,0,603.43
2026-07-22 13:56:52,Chedraui,frutas-y-verduras,28,428,428,0,434.51
2026-07-22 14:10:24,Chedraui,lacteos-y-huevo,51,808,808,0,812.49
